AAC,AAC HOLDINGS INC
AMAG,AMAG PHARMACEUTICALS INC
AMBA,AMBARELLA INC
AMBC,AMBAC FINL GROUP INC
AMBR,AMBER RD INC
AMC,AMC ENTERTAINMENT
AMED,AMEDISYS INC
AMKR,AMKOR TECHNOLOGY INC
AMN,AMN HEALTHCARE SERVICES
AMNB,AMERICAN NATL BANKSHARES
AMOT,ALLIED MOTION TECH
AMPH,AMPHASTAR PHARMA INC
AMRC,AMERESCO INC
AMRI,ALBANY MOLECULAR RESRCH
AMSF,AMERISAFE INC
AMSWA,AMERICAN SOFTWARE INC
AMWD,AMERICAN WOODMARK CORP
ANAB,ANAPTYS BIO INC
ANCX,ACCESS NATL CORP
ANDE,ANDERSONS INC
ANF,ABERCROMBIE & FITCH
ANGI,ANGIES LIST INC
ANGO,ANGIODYNAMICS INC
ANH,ANWORTH MORTGAGE ASSET
ANIK,ANIKA THERAPEUTICS INC
ANIP,ANI PHARMACEUTICALS INC
AOBC,AMERICAN OUTDOOR BRANDS
AOSL,ALPHA & OMEGA SEMICON
AP,AMPCO-PITTSBURGH CORP
APAM,ARTISAN PARTNERS ASSET
APEI,AMER PUBLIC EDUCATION
APOG,APOGEE ENTERPRISES INC
APPF,APPFOLIO INC
APTI,APPTIO INC
APTS,PREFERRED APT CMNTYS INC
AQMS,AQUA METALS INC
ARA,AMERICAN RENAL ASSOC HLD
ARAY,ACCURAY INC
ARC,ARC DOCUMENT SOLUTIONS
ARCB,ARCBEST CORPORATION
ARCH,ARCH COAL INC
ARDX,ARDELYX INC
AREX,APPROACH RESOURCES INC
ARI,APOLLO COMMERCIAL RE
ARII,AMERICAN RAILCAR IND
ARNA,ARENA PHARMACEUTICALS
AROC,ARCHROCK INC
AROW,ARROW FINANCIAL CORP
ARR,ARMOUR RESIDENTIAL REIT
ARRY,ARRAY BIOPHARMA INC
ARTNA,ARTESIAN RESOURCES CORP
ASBB,ASB BANCORP INC NC
ASC,ARDMORE SHIPPING CORP
ASCMA,ASCENT CAPITAL GROUP INC
ASGN,ON ASSIGNMENT INC
ASIX,ADVANSIX
ASMB,ASSEMBLY BIOSCIENCES INC
ASNA,ASCENA RETAIL GROUP INC
ASPS,ALTISOURCE PORTFOLIO
AST,ASTERIAS BIOTHERAPEUTICS
ASTE,ASTEC INDUSTRIES INC
AT,ATLANTIC PWR CORP
ATEN,A10 NETWORKS INC
ATGE,ADTALEM GLOBAL EDUCATION
ATHX,ATHERSYS INC
ATI,ALLEGHENY TECHNOLOGIES
ATKR,ATKORE INTL GROUP INC
ATLO,AMES NATL CORP
ATNI,ATN INTERNATIONAL INC
ATRA,ATARA BIOTHERAPEUTICS
ATRC,ATRICURE INC
ATRI,ATRION CORP
ATRO,ASTRONICS CORP
ATRS,ANTARES PHARMA INC
ATSG,AIR TRANSPORT SERVICES
ATU,ACTUANT CORP
ATW,ATWOOD OCEANICS INC
AVA,AVISTA CORP
AVAV,AEROVIRONMENT INC
AVD,AMERICAN VANGUARD CORP
AVHI,A V HOMES INC
AVID,AVID TECHNOLOGY INC
AVX,AVX CORP
AVXL,ANAVEX LIFE SCIENCES
AVXS,AVEXIS INC
AWR,AMERICAN STATES WATER CO
AXAS,ABRAXAS PETE CORP
AXDX,ACCELERATE DIAGNOSTICS
AXE,ANIXTER INTERNATIONAL
AXGN,AXOGEN INC
AXL,AMERICAN AXLE & MFG
AXON,AXOVANT SCIENCES LTD
AXTI,AXT INC
AYR,AIRCASTLE LTD
AYX,ALTERYX INC
AZPN,ASPEN TECHNOLOGY INC
AZZ,AZZ INC
B,BARNES GROUP INC
BABY,NATUS MEDICAL INC
BANC,BANC OF CALIFORNIA INC
BANF,BANCFIRST CORP
BANR,BANNER CORP
BAS,BASIC ENERGY SERVICES
BATRA,LIBERTY BRAVES SERIES A
BATRK,LIBERTY BRAVES SERIES C
BBG,BILL BARRETT CORP
BBGI,BEASLEY BROADCAST GROUP
BBSI,BARRETT BUSINESS SERVICE
BBW,BUILD A BEAR WORKSHOP
BCBP,BCB BANCORP INC
BCC,BOISE CASCADE COMPANY
BCEI,BONANZA CREEK ENER INC
BCO,BRINKS CO
BCOR,BLUCORA INC
BCOV,BRIGHTCOVE INC
BCPC,BALCHEM CORP
BCRH,BLUE CAPITAL REINSURANCE
BCRX,BIOCRYST PHARMACEUTICALS
BDC,BELDEN INC
BDE,BLACK DIAMOND INC
BDGE,BRIDGE BANCORP INC
BEAT,BIOTELEMETRY INC
BECN,BEACON ROOFING SUPPLY
BEL,BELMOND LTD
BELFB,BEL FUSE INC
BETR,AMPLIFY SNACK BRANDS INC
BFIN,BANKFINANCIAL CORP
BFS,SAUL CENTERS INC
BGC,GENERAL CABLE CORP
BGFV,BIG 5 SPORTING GOODS
BGG,BRIGGS & STRATTON CO
BGS,B & G FOODS INC
BGSF,BG STAFFING INC
BH,BIGLARI HOLDINGS INC
BHB,BAR HBR BANKSHARES
BHBK,BLUE HILLS BANCORP INC
BHE,BENCHMARK ELECTRONICS
BHLB,BERKSHIRE HILLS BANCORP
BHVN,BIOHAVEN PHARMACEUTICAL
BID,SOTHEBYS
BIG,BIG LOTS INC
BIOS,BIOSCRIP INC
BJRI,BJS RESTAURANTS INC
BKE,BUCKLE INC
BKH,BLACK HILLS CORP
BKMU,BANK MUTUAL CORP
BKS,BARNES & NOBLE INC
BL,BLACKLINE INC
BLBD,BLUE BIRD CORP
BLCM,BELLICUM PHARMACEUTICALS
BLD,TOPBUILD CORP
BLDR,BUILDERS FIRSTSOURCE INC
BLKB,BLACKBAUD INC
BLMN,BLOOMIN' BRANDS INC
BLMT,BSB BANCORP INC MD
BLUE,BLUEBIRD BIO INC
BLX,BANCO LATINOAMERICANO
BMCH,BMC STOCK HOLDINGS INC
BMI,BADGER METER INC
BMRC,BANK OF MARIN BANCORP
BMTC,BRYN MAWR BANK CORP
BNCL,BENEFICIAL BANCORP INC
BNED,BARNES & NOBLE EDUCATION
BNFT,BENEFITFOCUS INC
BOBE,BOB EVANS FARMS INC
BOCH,BANK COMM HLDGS
BOFI,BOFI HLDG INC
BOJA,BOJANGLES INC
BOLD,AUDENTES THERAPEUTICS
BOOM,DMC GLOBAL INC
BOOT,BOOT BARN HOLDINGS
BOX,BOX INC
BPFH,BOSTON PRIVATE FINANCIAL
BPI,BRIDGEPOINT ED INC
BPMC,BLUEPRINT MEDICINES CORP
BRC,BRADY CORP
BREW,CRAFT BREW ALLIANCE
BRG,BLUEROCK RESIDENT REIT
BRKL,BROOKLINE BANCORP INC
BRKS,BROOKS AUTOMATION INC
BRS,BRISTOW GROUP INC
BRSS,GLOBAL BRASS & COPPR HLD
BSET,BASSETT FURNITURE INDS
BSF,BEAR STATE FINL INC
BSFT,BROADSOFT INC
BSRR,SIERRA BANCORP
BSTC,BIOSPECIFICS TECHNO CORP
BTU,PEABODY ENERGY CORP
BTX,BIOTIME INC
BUSE,FIRST BUSEY CORP
BV,BAZAARVOICE INC
BW,BABCOCK & WILCOX ENT
BWFG,BANKWELL FINL GROUP INC
BWINB,BALDWIN & LYONS INC
BWLD,BUFFALO WILD WINGS INC
BXS,BANCORPSOUTH INC
BYD,BOYD GAMING CORP
BZH,BEAZER HOMES USA INC
CAC,CAMDEN NATIONAL CORP
CACI,CACI INTERNATIONAL INC
CACQ,CAESARS ACQUISITION CO
CADE,CADENCE BANCORP
CAI,CAI INTERNATIONAL INC
CAKE,CHEESECAKE FACTORY INC
CAL,CALERES INC
CALA,CALITHERA BIOSCIENCES
CALD,CALLIDUS SOFTWARE INC
CALM,CAL MAINE FOODS INC
CALX,CALIX INC
CAMP,CALAMP CORP
CAR,AVIS BUDGET GROUP INC
CARA,CARA THERAPEUTICS INC
CARB,CARBONITE INC
CARO,CAROLINA FINL CORP
CARS,CARS.COM
CASC,CASCADIAN THERAPEUTICS
CASH,META FINANCIAL GROUP INC
CASS,CASS INFORMATION SYSTEMS
CATM,CARDTRONICS PLC
CATO,CATO CORP
CATY,CATHAY GENERAL BANCORP
CBB,CINCINNATI BELL INC
CBF,CAPITAL BANK FINANCIAL
CBI,CHICAGO BRIDGE & IRON
CBL,CBL & ASSOC PPTYS INC
CBM,CAMBREX CORP
CBPX,CONTINENTAL BLDG PRODS
CBRL,CRACKER BARREL STORE
CBU,COMMUNITY BANK SYSTEMS
CBZ,CBIZ INC
CCBG,CAPITAL CITY BANK GROUP
CCC,CALGON CARBON CORP
CCF,CHASE CORP
CCMP,CABOT MICROELECTRONICS
CCN,CARDCONNECT CORP
CCNE,CNB FINL CORP PA
CCO,CLEAR CHANNEL OUTDOOR
CCOI,COGENT COMM HOLDINGS
CCP,CARE CAPITAL PROPERTIES
CCRN,CROSS COUNTRY HEALTHCARE
CCS,CENTURY COMMUNITIES INC
CCXI,CHEMOCENTRYX INC
CDE,COEUR MINING INC
CDR,CEDAR REALTY TRUST INC
CDXS,CODEXIS INC
CDZI,CADIZ INC
CECE,CECO ENVIRONMENTAL CORP
CECO,CAREER EDUCATION CORP
CEMP,CEMPRA INC
CENT,CENTRAL GARDEN & PET CO
CENTA,CENTRAL GARDEN & PET CO
CENX,CENTURY ALUMINUM CO
CERS,CERUS CORP
CETV,CENTRAL EUROPEAN MEDIA
CEVA,CEVA INC
CFFI,C & F FINANCIAL CORP
CFFN,CAPITOL FEDERAL FINL INC
CFI,CULP INC
CFMS,CONFORMIS INC
CFNB,CALIFORNIA FIRST NATL
CHCO,CITY HOLDING CO
CHCT,COMMUNITY HEALTHCARE TR
CHDN,CHURCHILL DOWNS INC
CHE,CHEMED CORPORATION
CHEF,CHEFS' WHAREHOUSE INC
CHFC,CHEMICAL FINANCIAL CORP
CHFN,CHARTER FINL CORP WEST
CHGG,CHEGG INC
CHMG,CHEMUNG FINL CORP
CHMI,CHERRY HILL MORTGAGE INV
CHRS,COHERUS BIOSCIENCES
CHS,CHICOS FAS INC
CHSP,CHESAPEAKE LODGING TRUST
CHUBA,COMMERCEHUB INC SERIES A
CHUBK,COMMERCEHUB INC SERIES C
CHUY,CHUY'S HOLDINGS INC
CIA,CITIZENS INC
CIEN,CIENA CORP
CIO,CITY OFFICE REIT INC
CIR,CIRCOR INTERNATIONAL INC
CIVB,CIVISTA BANCSHARES INC
CIVI,CIVITAS SOLUTIONS
CIX,COMPX INTERNATIONAL INC
CJ,C&J ENERGY SERVICES INC
CKH,SEACOR HOLDINGS INC
CLCT,COLLECTORS UNIVERSE INC
CLD,CLOUD PEAK ENERGY INC
CLDR,CLOUDERA INC
CLDT,CHATHAM LODGING TR
CLDX,CELLDEX THERAPEUTICS INC
CLF,CLIFFS NATURAL RESOURCES
CLFD,CLEARFIELD INC
CLI,MACK CALI REALTY CORP
CLNE,CLEAN ENERGY FUELS CORP
CLPR,CLIPPER REALTY INC
CLSD,CLEARSIDE BIOMEDICAL INC
CLVS,CLOVIS ONCOLOGY INC
CLW,CLEARWATER PAPER CORP
CMC,COMMERCIAL METALS CO
CMCO,COLUMBUS MCKINNON CORP
CMD,CANTEL MEDICAL CORP
CMO,CAPSTEAD MORTGAGE CORP
CMP,COMPASS MINERALS INTL
CMPR,CIMPRESS NV
CMRE,COSTAMARE INC
CMRX,CHIMERIX INC
CMT,CORE MOLDING TECHN
CMTL,COMTECH TELECOMM
CNAT,CONATUS PHARMACEUTICALS
CNBKA,CENTURY BANCORP INC
CNCE,CONCERT PHARMACEUTICALS
CNMD,CONMED CORP
CNO,CNO FINANCIAL GROUP
CNOB,CONNECTONE BANCORP INC
CNS,COHEN & STEERS INC
CNSL,CONSOLIDATED COMM
CNTY,CENTURY CASINOS INC
CNXN,P C CONNECTION
COBZ,COBIZ FINANCIAL INC
COGT,COGINT INC
COHU,COHU INC
COKE,COCA COLA BOTTLING
COLB,COLUMBIA BKG SYSTEM INC
COLL,COLLEGIUM PHARMACEUTICAL
COLM,COLUMBIA SPORTSWEAR CO
CONN,CONNS INC
CORE,CORE MARK HOLDING CO INC
CORI,CORIUM INTL INC
CORR,CORENERGY INFRASTRUCT
CORT,CORCEPT THERAPEUTICS INC
COTV,COTIVITI HOLDINGS INC
COUP,COUPA SOFTWARE INC
COWN,COWEN INC
CPE,CALLON PETROLEUM CO
CPF,CENTRAL PACIFIC FINL
CPK,CHESAPEAKE UTILITIES
CPLA,CAPELLA EDUCATION CO
CPRX,CATALYST PHARMACEUTICALS
CPS,COOPER STD HLDGS INC
CPSI,COMPUTER PROGRAMS & SYS
CRAI,CRA INTERNATIONAL INC
CRAY,CRAY INC
CRBP,CORBUS PHARMACEUTICALS
CRC,CALIFORNIA RESOURCES
CRCM,CARE.COM INC
CRD.B,CRAWFORD & CO
CREE,CREE INC
CRIS,CURIS INC
CRMT,AMERICAS CAR-MART INC
CROX,CROCS INC
CRR,CARBO CERAMICS INC
CRS,CARPENTER TECHNOLOGY
CRUS,CIRRUS LOGIC INC
CRVL,CORVEL CORP
CRVS,CORVUS PHARMACEUTICALS
CRY,CRYOLIFE INC
CRZO,CARRIZO OIL & GAS INC
CSBK,CLIFTON BANCORP INC
CSFL,CENTERSTATE BANKS INC
CSGS,CSG SYSTEMS INTL INC
CSII,CARDIOVASCULAR SYS INC
CSLT,CASTLIGHT HEALTH INC
CSOD,CORNERSTONE ONDEMAND INC
CSS,CSS INDUSTRIES INC
CSTE,CAESARSTONE LTD
CSTR,CAPSTAR FINANCIAL HLDG
CSU,CAPITAL SENIOR LIVING
CSV,CARRIAGE SERVICES INC
CSWI,CSW INDUSTRIALS INC
CTB,COOPER TIRE & RUBBER CO
CTBI,COMMUNITY TRUST BANCORP
CTLT,CATALENT INC
CTMX,CYTOMX THERAPEUTICS INC
CTO,CONSOLIDATED TOMOKA LAND
CTRE,CARETRUST REIT INC
CTRL,CONTROL4 CORPORATION
CTRN,CITI TRENDS INC
CTS,CTS CORP
CTT,CATCHMARK TIMBER TRUST
CTWS,CONNECTICUT WATER SVC
CUB,CUBIC CORP
CUBI,CUSTOMERS BANCORP INC
CUBN,COMMERCE UNION BANCSHARE
CUDA,BARRACUDA NETWORKS INC
CUNB,CU BANCORP CALIF
CUTR,CUTERA INC
CUZ,COUSINS PROPERTIES INC
CVA,COVANTA HOLDING CORP
CVBF,CVB FINANCIAL CORP
CVCO,CAVCO INDUSTRIES INC
CVCY,CENTRAL VALLEY CMNTY
CVG,CONVERGYS CORP
CVGI,COMMERCIAL VEH GROUP INC
CVGW,CALAVO GROWERS INC
CVI,CVR ENERGY INC
CVLT,COMMVAULT SYSTEMS INC
CVLY,CODORUS VY BANCORP INC
CVNA,CARVANA CO
CVRS,CORINDUS VASC ROBOTICS
CVTI,COVENANT TRANS GRP INC
CW,CURTISS WRIGHT CORP
CWCO,CONSOLIDATED WATER CO
CWH,CAMPING WORLD HOLDINGS
CWST,CASELLA WASTE SYSTEMS
CWT,CALIFORNIA WTR SVC GRP
CYBE,CYBEROPTICS CORP
CYH,COMMUNITY HEALTH SYSTEMS
CYS,CYS INVESTMENTS INC
CYTK,CYTOKINETICS INC
CZNC,CITIZENS & NORTHERN CORP
CZR,CAESARS ENTMT CORP
DAKT,DAKTRONICS INC
DAN,DANA INCORPORATED
DAR,DARLING INGREDIENTS INC
DBD,DIEBOLD NIXDORF
DCO,DUCOMMUN INC
DCOM,DIME CMNTY BANCSHARES
DDD,3D SYSTEMS CORP
DDS,DILLARDS INC
DEA,EASTERLY GOVERNMENT PPTY
DECK,DECKERS OUTDOOR CORP
DEL,DELTIC TIMBER CORP
DENN,DENNYS CORP
DEPO,DEPOMED INC
DERM,DERMIRA INC
DF,DEAN FOODS COMPANY
DFIN,DONNELLEY FINANCIAL
DFRG,DEL FRISCOS RESTAURANT
DGAS,DELTA NATURAL GAS INC
DGI,DIGITALGLOBE INC
DGICA,DONEGAL GROUP INC
DGII,DIGI INTL INC
DHIL,DIAMOND HILL INVESTMENT
DHT,DHT HOLDINGS INC
DHX,DHI GROUP INC
DIN,DINEEQUITY INC
DIOD,DIODES INC
DJCO,DAILY JOURNAL CORP
DK,DELEK US HLDGS INC
DLA,DELTA APPAREL INC
DLTH,DULUTH HOLDINGS INC
DLX,DELUXE CORP
DMRC,DIGIMARC CORPORATION
DNBF,DNB FINL CORP
DNOW,NOW INC
DNR,DENBURY RESOURCES INC
DO,DIAMOND OFFSHR DRILLING
DOC,PHYSICIANS REALTY TRUST
DOOR,MASONITE INTL CORP
DORM,DORMAN PRODUCTS INC
DPLO,DIPLOMAT PHARMACY INC
DRH,DIAMONDROCK HOSPITALITY
DRQ,DRIL-QUIP INC
DRRX,DURECT CORP
DS,DRIVE SHACK
DSKE,DASEKE INC
DSPG,DSP GROUP INC
DSW,DSW INC
DVAX,DYNAVAX TECHNOLOGIES
DX,DYNEX CAPITAL INC
DXPE,DXP ENTERPRISES INC
DY,DYCOM INDUSTRIES INC
DYN,DYNEGY INC
EARN,ELLINGTON RESIDENTIAL
EAT,BRINKER INTERNATIONAL
EBF,ENNIS INC
EBIX,EBIX INC
EBS,EMERGENT BIOSOLUTIONS
EBSB,MERIDIAN BANCORP INC
EBTC,ENTERPRISE BANCORP INC
ECHO,ECHO GLOBAL LOGISTICS
ECOL,US ECOLOGY INC
ECOM,CHANNELADVISOR CORP
ECPG,ENCORE CAPITAL GROUP INC
ECR,ECLIPSE RESOURCES CORP
EDGE,EDGE THERAPEUTICS INC
EDIT,EDITAS MEDICINE INC
EDR,EDUCATION REALTY TRUST
EE,EL PASO ELECTRIC CO
EEX,EMERALD EXPOSITIONS
EFII,ELECTRONICS FOR IMAGING
EFSC,ENTERPRISE FINL SERVICES
EGBN,EAGLE BANCORP INC
EGHT,8X8 INC NEW
EGL,ENGILITY HOLDINGS INC
EGLE,EAGLE BULK SHIPPING INC
EGOV,NIC INC
EGP,EASTGROUP PROPERTIES INC
EGRX,EAGLE PHARMACEUTICALS
EHTH,EHEALTH INC
EIG,EMPLOYERS HOLDINGS INC
EIGI,ENDURANCE INTERNATIONAL
ELF,ELF BEAUTY INC
ELGX,ENDOLOGIX INC
ELLI,ELLIE MAE INC
ELVT,ELEVATE CREDIT INC
ELY,CALLAWAY GOLF CO
EMCI,EMC INS GROUP INC
EME,EMCOR GROUP INC
EMKR,EMCORE CORP
EML,EASTERN CO
ENFC,ENTEGRA FINANCIAL CORP
ENOC,ENERNOC INC
ENS,ENERSYS INC
ENSG,ENSIGN GROUP INC
ENT,GLOBAL EAGLE ENTMT INC
ENTA,ENANTA PHARMACEUTICALS
ENTG,ENTEGRIS INC
ENTL,ENTELLUS MEDICAL INC
ENV,ENVESTNET INC
ENVA,ENOVA INTERNATIONAL INC
ENZ,ENZO BIOCHEM INC
EPAM,EPAM SYSTEMS INC
EPAY,BOTTOMLINE TECHNOLOGIES
EPE,EP ENERGY CORPORATION
EPM,EVOLUTION PETROLEUM CORP
EPZM,EPIZYME INC
EQBK,EQUITY BANCSHARE INC
ERA,ERA GROUP INC
ERI,ELDORADO RESORTS INC
ERII,ENERGY RECOVERY INC
EROS,EROS INTL PLC
ESCA,ESCALADE INC
ESE,ESCO TECHNOLOGIES INC
ESGR,ENSTAR GROUP LIMITED
ESIO,ELECTRO SCIENTIFIC INDS
ESL,ESTERLINE TECHNOLOGIES
ESND,ESSENDANT INC
ESNT,ESSENT GROUP LTD
ESPR,ESPERION THERAPEUTICS
ESSA,ESSA BANCORP INC
ESTE,EARTHSTONE ENERGY INC
ESV,ENSCO PLC
ESXB,COMMUNITY BANKERS TRUST
ETH,ETHAN ALLEN INTERIORS
ETM,ENTERCOM COMMUNICATIONS
ETSY,ETSY INC
EVBG,EVERBRIDGE INC
EVBN,EVANS BANCORP INC
EVC,ENTRAVISION COMM
EVH,EVOLENT HEALTH INC
EVI,ENVIROSTAR INC
EVR,EVERCORE PARTNERS
EVRI,EVERI HOLDINGS INC
EVTC,EVERTEC INC
EXA,EXA CORP
EXAC,EXACTECH INC
EXAS,EXACT SCIENCES CORP
EXLS,EXLSERVICE HOLDINGS INC
EXPO,EXPONENT INC
EXPR,EXPRESS INC
EXTN,EXTERRAN CORPORATION
EXTR,EXTREME NETWORKS INC
EXXI,ENERGY XXI GULF COAST
EZPW,EZCORP INC
FARM,FARMER BROS CO
FARO,FARO TECHNOLOGIES INC
FATE,FATE THERAPEUTICS INC
FBC,FLAGSTAR BANCORP INC
FBIO,FORTRESS BIOTECH INC
FBIZ,FIRST BUSINESS FINL SVCS
FBK,FB FINANCIAL CORP
FBM,FOUNDATION BLDG MATERIAL
FBMS,FIRST BANCSHARES INC MS
FBNC,FIRST BANCORP NC
FBNK,FIRST CONN BANCORP INC
FBP,FIRST BANCORP PR
FC,FRANKLIN COVEY CO
FCB,FCB FINANCIAL HOLDINGS
FCBC,FIRST CMNTY BANCSHAR
FCF,FIRST COMMONWLTH FINL
FCFP,FIRST COMMUNITY FINL INC
FCFS,FIRSTCASH INC
FCH,FELCOR LODGING TRUST INC
FCN,FTI CONSULTING INC
FCNCA,FIRST CITIZENS BANCSHRS
FCPT,FOUR CORNERS PPTY TRUST
FDEF,FIRST DEFIANCE FINANCIAL
FDP,FRESH DEL MONTE PRODUCE
FELE,FRANKLIN ELECTRIC CO
FET,FORUM ENERGY TECH
FF,FUTUREFUEL CORPORATION
FFBC,FIRST FINANCIAL BANCORP
FFG,FBL FINANCIAL GROUP INC
FFIC,FLUSHING FINANCIAL CORP
FFIN,FIRST FINL BANKSHARES
FFKT,FARMERS CAPITAL BK CORP
FFNW,FIRST FINL NORTHWEST
FFWM,FIRST FNDTN INC
FGBI,FIRST GUARANTY BANCSHARE
FGEN,FIBROGEN INC
FGL,FIDELITY & GUARANTY
FI,FRANK'S INTERNATIONAL
FIBK,FIRST INTST BANCSYSTEM
FICO,FAIR ISAAC CORP
FINL,FINISH LINE INC
FISI,FINANCIAL INSTNS INC
FIT,FITBIT INC
FIVE,FIVE BELOW
FIVN,FIVE9 INC
FIX,COMFORT SYSTEMS USA INC
FIZZ,NATIONAL BEVERAGE CORP
FLDM,FLUIDIGM CORP
FLIC,FIRST LONG ISLAND CORP
FLOW,SPX FLOW INC
FLWS,1-800 FLOWERS COM
FLXN,FLEXION THERAPEUTICS INC
FLXS,FLEXSTEEL INDUSTRIES INC
FMAO,FARMERS & MERCHANTS BNCP
FMBH,FIRST MID ILL BANCSHARES
FMBI,FIRST MIDWEST BANCORP
FMI,FOUNDATION MEDICINE INC
FMNB,FARMERS NATL BANC CORP
FMSA,FAIRMOUNT SANTROL HLDGS
FN,FABRINET
FNBG,FNB BANCORP
FNFV,FNFV GROUP
FNGN,FINANCIAL ENGINES INC
FNHC,FEDERATED NATL HOLDING
FNLC,FIRST BANCORP INC
FNSR,FINISAR CORP
FNWB,FIRST NORTHWEST BANCORP
FOE,FERRO CORP
FOGO,FOGO DE CHAI INC
FOLD,AMICUS THERAPEUTICS INC
FONR,FONAR CORP
FOR,FORESTAR GROUP INC
FORM,FORMFACTOR INC
FORR,FORRESTER RESEARCH INC
FOSL,FOSSIL GROUP INC
FOXF,FOX FACTORY HOLDING CORP
FPI,FARMLAND PARTNERS INC
FPO,FIRST POTOMAC REALTY TR
FPRX,FIVE PRIME THERAPEUTICS
FR,FIRST INDUSTRIAL RLTY TR
FRAC,KEANE GROUP INC
FRAN,FRANCESCAS HOLDINGS CORP
FRBK,REPUBLIC FIRST BANCORP
FRED,FREDS INC
FRGI,FIESTA RESTAURANT GROUP
FRME,FIRST MERCHANTS CORP
FRO,FRONTLINE LTD
FRP,FAIRPOINT COMMUNICATIONS
FRPH,FRP HOLDINGS INC
FRPT,FRESHPET INC
FRTA,FORTERRA INC
FSAM,FIFTH STREET ASSET MGMT
FSB,FRANKLIN FINANCIAL NTWK
FSP,FRANKLIN STREET PPTYS CO
FSS,FEDERAL SIGNAL CORP
FSTR,FOSTER L B CO
FTD,FTD COMPANIES INC
FTK,FLOTEK INDUSTRIES INC
FTR,FRONTIER COMMUNICATIONS
FUEL,ROCKET FUEL INC
FUL,HB FULLER COMPANY
FULT,FULTON FINANCIAL CORP
FWRD,FORWARD AIR CORP
GABC,GERMAN AMERICAN BANCORP
GAIA,GAIA INC
GATX,GATX CORP
GBCI,GLACIER BANCORP INC
GBL,GAMCO INVESTORS INC
GBLI,GLOBAL INDEMNITY LTD
GBNK,GUARANTY BANCORP
GBT,GLOBAL BLOOD THERA
GBX,GREENBRIER COMPANIES INC
GCAP,GAIN CAPITAL HLDNGS INC
GCBC,GREENE COUNTY BANCORP
GCI,GANNETT CO INC
GCO,GENESCO INC
GCP,GCP APPLIED TECHNOLOGIES
GDEN,GOLDEN ENTERTAINMENT INC
GDOT,GREEN DOT CORP
GEF,GREIF INC
GEF.B,GREIF INC
GEN,GENESIS HEALTHCARE INC
GENC,GENCOR INDUSTRIES INC
GEO,GEO GROUP INC
